date,amount,description
3100-05-01,5000,Salary payment
3100-06-02,-3000,Rent payment
3100-07-05,-200,Grocery shopping
3100-09-03,-1000,Electricity bill
3100-10-07,2500,Client payment
3100-10-01,5000,Salary payment
3100-11-02,-3000,Rent payment
3100-12-05,-200,Grocery shopping
3101-02-03,-1000,Electricity bill
3101-03-07,2500,Client payment
3101-03-01,5000,Salary payment
3101-04-02,-3000,Rent payment
3101-05-05,-200,Grocery shopping
3101-07-03,-1000,Electricity bill
3101-08-07,2500,Client payment
3101-08-01,5000,Salary payment
3101-09-02,-3000,Rent payment
3101-10-05,-200,Grocery shopping
3101-12-03,-1000,Electricity bill
3102-01-07,2500,Client payment
3102-01-01,5000,Salary payment
3102-02-02,-3000,Rent payment
3102-03-05,-200,Grocery shopping
3102-05-03,-1000,Electricity bill
3102-06-07,2500,Client payment
3102-06-01,5000,Salary payment
3102-07-02,-3000,Rent payment
3102-08-05,-200,Grocery shopping
3102-10-03,-1000,Electricity bill
3102-11-07,2500,Client payment
3102-11-01,5000,Salary payment
3102-12-02,-3000,Rent payment
3103-01-05,-200,Grocery shopping
3103-03-03,-1000,Electricity bill
3103-04-07,2500,Client payment
3103-04-01,5000,Salary payment
3103-05-02,-3000,Rent payment
3103-06-05,-200,Grocery shopping
3103-08-03,-1000,Electricity bill
3103-09-07,2500,Client payment
3103-09-01,5000,Salary payment
3103-10-02,-3000,Rent payment
3103-11-05,-200,Grocery shopping
3104-01-03,-1000,Electricity bill
3104-02-07,2500,Client payment
3104-02-01,5000,Salary payment
3104-03-02,-3000,Rent payment
3104-04-05,-200,Grocery shopping
3104-06-03,-1000,Electricity bill
3104-07-07,2500,Client payment
3104-07-01,5000,Salary payment
3104-08-02,-3000,Rent payment
3104-09-05,-200,Grocery shopping
3104-11-03,-1000,Electricity bill
3104-12-07,2500,Client payment
3104-12-01,5000,Salary payment
3105-01-02,-3000,Rent payment
3105-02-05,-200,Grocery shopping
3105-04-03,-1000,Electricity bill
3105-05-07,2500,Client payment
3105-05-01,5000,Salary payment
3105-06-02,-3000,Rent payment
3105-07-05,-200,Grocery shopping
3105-09-03,-1000,Electricity bill
3105-10-07,2500,Client payment
3105-10-01,5000,Salary payment
3105-11-02,-3000,Rent payment
3105-12-05,-200,Grocery shopping
3106-02-03,-1000,Electricity bill
3106-03-07,2500,Client payment
3106-03-01,5000,Salary payment
3106-04-02,-3000,Rent payment
3106-05-05,-200,Grocery shopping
3106-07-03,-1000,Electricity bill
3106-08-07,2500,Client payment
3106-08-01,5000,Salary payment
3106-09-02,-3000,Rent payment
3106-10-05,-200,Grocery shopping
3106-12-03,-1000,Electricity bill
3107-01-07,2500,Client payment
3107-01-01,5000,Salary payment
3107-02-02,-3000,Rent payment
3107-03-05,-200,Grocery shopping
3107-05-03,-1000,Electricity bill
3107-06-07,2500,Client payment
3107-06-01,5000,Salary payment
3107-07-02,-3000,Rent payment
3107-08-05,-200,Grocery shopping
3107-10-03,-1000,Electricity bill
3107-11-07,2500,Client payment
3107-11-01,5000,Salary payment
3107-12-02,-3000,Rent payment
3108-01-05,-200,Grocery shopping
3108-03-03,-1000,Electricity bill
3108-04-07,2500,Client payment
3108-04-01,5000,Salary payment
3108-05-02,-3000,Rent payment
3108-06-05,-200,Grocery shopping
3108-08-03,-1000,Electricity bill
3108-09-07,2500,Client payment
3108-09-01,5000,Salary payment
3108-10-02,-3000,Rent payment
3108-11-05,-200,Grocery shopping
3109-01-03,-1000,Electricity bill
3109-02-07,2500,Client payment
3109-02-01,5000,Salary payment
3109-03-02,-3000,Rent payment
3109-04-05,-200,Grocery shopping
3109-06-03,-1000,Electricity bill
3109-07-07,2500,Client payment
3109-07-01,5000,Salary payment
3109-08-02,-3000,Rent payment
3109-09-05,-200,Grocery shopping
3109-11-03,-1000,Electricity bill
3109-12-07,2500,Client payment
3109-12-01,5000,Salary payment
3110-01-02,-3000,Rent payment
3110-02-05,-200,Grocery shopping
3110-04-03,-1000,Electricity bill
3110-05-07,2500,Client payment
3110-05-01,5000,Salary payment
3110-06-02,-3000,Rent payment
3110-07-05,-200,Grocery shopping
3110-09-03,-1000,Electricity bill
3110-10-07,2500,Client payment
3110-10-01,5000,Salary payment
3110-11-02,-3000,Rent payment
3110-12-05,-200,Grocery shopping
3111-02-03,-1000,Electricity bill
3111-03-07,2500,Client payment
3111-03-01,5000,Salary payment
3111-04-02,-3000,Rent payment
3111-05-05,-200,Grocery shopping
3111-07-03,-1000,Electricity bill
3111-08-07,2500,Client payment
3111-08-01,5000,Salary payment
3111-09-02,-3000,Rent payment
3111-10-05,-200,Grocery shopping
3111-12-03,-1000,Electricity bill
3112-01-07,2500,Client payment
3112-01-01,5000,Salary payment
3112-02-02,-3000,Rent payment
3112-03-05,-200,Grocery shopping
3112-05-03,-1000,Electricity bill
3112-06-07,2500,Client payment
3112-06-01,5000,Salary payment
3112-07-02,-3000,Rent payment
3112-08-05,-200,Grocery shopping
3112-10-03,-1000,Electricity bill
3112-11-07,2500,Client payment
3112-11-01,5000,Salary payment
3112-12-02,-3000,Rent payment
3113-01-05,-200,Grocery shopping
3113-03-03,-1000,Electricity bill
3113-04-07,2500,Client payment
3113-04-01,5000,Salary payment
3113-05-02,-3000,Rent payment
3113-06-05,-200,Grocery shopping
3113-08-03,-1000,Electricity bill
3113-09-07,2500,Client payment
3113-09-01,5000,Salary payment
3113-10-02,-3000,Rent payment
3113-11-05,-200,Grocery shopping
3114-01-03,-1000,Electricity bill
3114-02-07,2500,Client payment
3114-02-01,5000,Salary payment
3114-03-02,-3000,Rent payment
3114-04-05,-200,Grocery shopping
3114-06-03,-1000,Electricity bill
3114-07-07,2500,Client payment
3114-07-01,5000,Salary payment
3114-08-02,-3000,Rent payment
3114-09-05,-200,Grocery shopping
3114-11-03,-1000,Electricity bill
3114-12-07,2500,Client payment
3114-12-01,5000,Salary payment
3115-01-02,-3000,Rent payment
3115-02-05,-200,Grocery shopping
3115-04-03,-1000,Electricity bill
3115-05-07,2500,Client payment
3115-05-01,5000,Salary payment
3115-06-02,-3000,Rent payment
3115-07-05,-200,Grocery shopping
3115-09-03,-1000,Electricity bill
3115-10-07,2500,Client payment
3115-10-01,5000,Salary payment
3115-11-02,-3000,Rent payment
3115-12-05,-200,Grocery shopping
3116-02-03,-1000,Electricity bill
3116-03-07,2500,Client payment
3116-03-01,5000,Salary payment
3116-04-02,-3000,Rent payment
3116-05-05,-200,Grocery shopping
3116-07-03,-1000,Electricity bill
3116-08-07,2500,Client payment
3116-08-01,5000,Salary payment
3116-09-02,-3000,Rent payment
3116-10-05,-200,Grocery shopping
3116-12-03,-1000,Electricity bill
3117-01-07,2500,Client payment
3117-01-01,5000,Salary payment
3117-02-02,-3000,Rent payment
3117-03-05,-200,Grocery shopping
3117-05-03,-1000,Electricity bill
3117-06-07,2500,Client payment
3117-06-01,5000,Salary payment
3117-07-02,-3000,Rent payment
3117-08-05,-200,Grocery shopping
3117-10-03,-1000,Electricity bill
3117-11-07,2500,Client payment
3117-11-01,5000,Salary payment
3117-12-02,-3000,Rent payment
3118-01-05,-200,Grocery shopping
3118-03-03,-1000,Electricity bill
3118-04-07,2500,Client payment
3118-04-01,5000,Salary payment
3118-05-02,-3000,Rent payment
3118-06-05,-200,Grocery shopping
3118-08-03,-1000,Electricity bill
3118-09-07,2500,Client payment
3118-09-01,5000,Salary payment
3118-10-02,-3000,Rent payment
3118-11-05,-200,Grocery shopping
3119-01-03,-1000,Electricity bill
3119-02-07,2500,Client payment
3119-02-01,5000,Salary payment
3119-03-02,-3000,Rent payment
3119-04-05,-200,Grocery shopping
3119-06-03,-1000,Electricity bill
3119-07-07,2500,Client payment
3119-07-01,5000,Salary payment
3119-08-02,-3000,Rent payment
3119-09-05,-200,Grocery shopping
3119-11-03,-1000,Electricity bill
3119-12-07,2500,Client payment
3119-12-01,5000,Salary payment
3120-01-02,-3000,Rent payment
3120-02-05,-200,Grocery shopping
3120-04-03,-1000,Electricity bill
3120-05-07,2500,Client payment
3120-05-01,5000,Salary payment
3120-06-02,-3000,Rent payment
3120-07-05,-200,Grocery shopping
3120-09-03,-1000,Electricity bill
3120-10-07,2500,Client payment
3120-10-01,5000,Salary payment
3120-11-02,-3000,Rent payment
3120-12-05,-200,Grocery shopping
3121-02-03,-1000,Electricity bill
3121-03-07,2500,Client payment
3121-03-01,5000,Salary payment
3121-04-02,-3000,Rent payment
3121-05-05,-200,Grocery shopping
3121-07-03,-1000,Electricity bill
3121-08-07,2500,Client payment
3121-08-01,5000,Salary payment
3121-09-02,-3000,Rent payment
3121-10-05,-200,Grocery shopping
3121-12-03,-1000,Electricity bill
3122-01-07,2500,Client payment
3122-01-01,5000,Salary payment
3122-02-02,-3000,Rent payment
3122-03-05,-200,Grocery shopping
3122-05-03,-1000,Electricity bill
3122-06-07,2500,Client payment
3122-06-01,5000,Salary payment
3122-07-02,-3000,Rent payment
3122-08-05,-200,Grocery shopping
3122-10-03,-1000,Electricity bill
3122-11-07,2500,Client payment
3122-11-01,5000,Salary payment
3122-12-02,-3000,Rent payment
3123-01-05,-200,Grocery shopping
3123-03-03,-1000,Electricity bill
3123-04-07,2500,Client payment
3123-04-01,5000,Salary payment
3123-05-02,-3000,Rent payment
3123-06-05,-200,Grocery shopping
3123-08-03,-1000,Electricity bill
3123-09-07,2500,Client payment
3123-09-01,5000,Salary payment
3123-10-02,-3000,Rent payment
3123-11-05,-200,Grocery shopping
3124-01-03,-1000,Electricity bill
3124-02-07,2500,Client payment
3124-02-01,5000,Salary payment
3124-03-02,-3000,Rent payment
3124-04-05,-200,Grocery shopping
3124-06-03,-1000,Electricity bill
3124-07-07,2500,Client payment
3124-07-01,5000,Salary payment
3124-08-02,-3000,Rent payment
3124-09-05,-200,Grocery shopping
3124-11-03,-1000,Electricity bill
3124-12-07,2500,Client payment
3124-12-01,5000,Salary payment
3125-01-02,-3000,Rent payment
3125-02-05,-200,Grocery shopping
3125-04-03,-1000,Electricity bill
3125-05-07,2500,Client payment
3125-05-01,5000,Salary payment
3125-06-02,-3000,Rent payment
3125-07-05,-200,Grocery shopping
3125-09-03,-1000,Electricity bill
3125-10-07,2500,Client payment
3125-10-01,5000,Salary payment
3125-11-02,-3000,Rent payment
3125-12-05,-200,Grocery shopping
3126-02-03,-1000,Electricity bill
3126-03-07,2500,Client payment
3126-03-01,5000,Salary payment
3126-04-02,-3000,Rent payment
3126-05-05,-200,Grocery shopping
3126-07-03,-1000,Electricity bill
3126-08-07,2500,Client payment
3126-08-01,5000,Salary payment
3126-09-02,-3000,Rent payment
3126-10-05,-200,Grocery shopping
3126-12-03,-1000,Electricity bill
3127-01-07,2500,Client payment
3127-01-01,5000,Salary payment
3127-02-02,-3000,Rent payment
3127-03-05,-200,Grocery shopping
3127-05-03,-1000,Electricity bill
3127-06-07,2500,Client payment
3127-06-01,5000,Salary payment
3127-07-02,-3000,Rent payment
3127-08-05,-200,Grocery shopping
3127-10-03,-1000,Electricity bill
3127-11-07,2500,Client payment
3127-11-01,5000,Salary payment
3127-12-02,-3000,Rent payment
3128-01-05,-200,Grocery shopping
3128-03-03,-1000,Electricity bill
3128-04-07,2500,Client payment
3128-04-01,5000,Salary payment
3128-05-02,-3000,Rent payment
3128-06-05,-200,Grocery shopping
3128-08-03,-1000,Electricity bill
3128-09-07,2500,Client payment
3128-09-01,5000,Salary payment
3128-10-02,-3000,Rent payment
3128-11-05,-200,Grocery shopping
3129-01-03,-1000,Electricity bill
3129-02-07,2500,Client payment
3129-02-01,5000,Salary payment
3129-03-02,-3000,Rent payment
3129-04-05,-200,Grocery shopping
3129-06-03,-1000,Electricity bill
3129-07-07,2500,Client payment
3129-07-01,5000,Salary payment
3129-08-02,-3000,Rent payment
3129-09-05,-200,Grocery shopping
3129-11-03,-1000,Electricity bill
3129-12-07,2500,Client payment
3129-12-01,5000,Salary payment
3130-01-02,-3000,Rent payment
3130-02-05,-200,Grocery shopping
3130-04-03,-1000,Electricity bill
3130-05-07,2500,Client payment
3130-05-01,5000,Salary payment
3130-06-02,-3000,Rent payment
3130-07-05,-200,Grocery shopping
3130-09-03,-1000,Electricity bill
3130-10-07,2500,Client payment
3130-10-01,5000,Salary payment
3130-11-02,-3000,Rent payment
3130-12-05,-200,Grocery shopping
3131-02-03,-1000,Electricity bill
3131-03-07,2500,Client payment
3131-03-01,5000,Salary payment
3131-04-02,-3000,Rent payment
3131-05-05,-200,Grocery shopping
3131-07-03,-1000,Electricity bill
3131-08-07,2500,Client payment
3131-08-01,5000,Salary payment
3131-09-02,-3000,Rent payment
3131-10-05,-200,Grocery shopping
3131-12-03,-1000,Electricity bill
3132-01-07,2500,Client payment
3132-01-01,5000,Salary payment
3132-02-02,-3000,Rent payment
3132-03-05,-200,Grocery shopping
3132-05-03,-1000,Electricity bill
3132-06-07,2500,Client payment
3132-06-01,5000,Salary payment
3132-07-02,-3000,Rent payment
3132-08-05,-200,Grocery shopping
3132-10-03,-1000,Electricity bill
3132-11-07,2500,Client payment
3132-11-01,5000,Salary payment
3132-12-02,-3000,Rent payment
3133-01-05,-200,Grocery shopping
3133-03-03,-1000,Electricity bill
3133-04-07,2500,Client payment
3133-04-01,5000,Salary payment
3133-05-02,-3000,Rent payment
3133-06-05,-200,Grocery shopping
3133-08-03,-1000,Electricity bill
3133-09-07,2500,Client payment
3133-09-01,5000,Salary payment
3133-10-02,-3000,Rent payment
3133-11-05,-200,Grocery shopping
3134-01-03,-1000,Electricity bill
3134-02-07,2500,Client payment
3134-02-01,5000,Salary payment
3134-03-02,-3000,Rent payment
3134-04-05,-200,Grocery shopping
3134-06-03,-1000,Electricity bill
3134-07-07,2500,Client payment
3134-07-01,5000,Salary payment
3134-08-02,-3000,Rent payment
3134-09-05,-200,Grocery shopping
3134-11-03,-1000,Electricity bill
3134-12-07,2500,Client payment
3134-12-01,5000,Salary payment
3135-01-02,-3000,Rent payment
3135-02-05,-200,Grocery shopping
3135-04-03,-1000,Electricity bill
3135-05-07,2500,Client payment
3135-05-01,5000,Salary payment
3135-06-02,-3000,Rent payment
3135-07-05,-200,Grocery shopping
3135-09-03,-1000,Electricity bill
3135-10-07,2500,Client payment
3135-10-01,5000,Salary payment
3135-11-02,-3000,Rent payment
3135-12-05,-200,Grocery shopping
3136-02-03,-1000,Electricity bill
3136-03-07,2500,Client payment
3136-03-01,5000,Salary payment
3136-04-02,-3000,Rent payment
3136-05-05,-200,Grocery shopping
3136-07-03,-1000,Electricity bill
3136-08-07,2500,Client payment
3136-08-01,5000,Salary payment
3136-09-02,-3000,Rent payment
3136-10-05,-200,Grocery shopping
3136-12-03,-1000,Electricity bill
3137-01-07,2500,Client payment
3137-01-01,5000,Salary payment
3137-02-02,-3000,Rent payment
3137-03-05,-200,Grocery shopping
3137-05-03,-1000,Electricity bill
3137-06-07,2500,Client payment
3137-06-01,5000,Salary payment
3137-07-02,-3000,Rent payment
3137-08-05,-200,Grocery shopping
3137-10-03,-1000,Electricity bill
3137-11-07,2500,Client payment
3137-11-01,5000,Salary payment
3137-12-02,-3000,Rent payment
3138-01-05,-200,Grocery shopping
3138-03-03,-1000,Electricity bill
3138-04-07,2500,Client payment
3138-04-01,5000,Salary payment
3138-05-02,-3000,Rent payment
3138-06-05,-200,Grocery shopping
3138-08-03,-1000,Electricity bill
3138-09-07,2500,Client payment
3138-09-01,5000,Salary payment
3138-10-02,-3000,Rent payment
3138-11-05,-200,Grocery shopping
3139-01-03,-1000,Electricity bill
3139-02-07,2500,Client payment
3139-02-01,5000,Salary payment
3139-03-02,-3000,Rent payment
3139-04-05,-200,Grocery shopping
3139-06-03,-1000,Electricity bill
3139-07-07,2500,Client payment
3139-07-01,5000,Salary payment
3139-08-02,-3000,Rent payment
3139-09-05,-200,Grocery shopping
3139-11-03,-1000,Electricity bill
3139-12-07,2500,Client payment
3139-12-01,5000,Salary payment
3140-01-02,-3000,Rent payment
3140-02-05,-200,Grocery shopping
3140-04-03,-1000,Electricity bill
3140-05-07,2500,Client payment
3140-05-01,5000,Salary payment
3140-06-02,-3000,Rent payment
3140-07-05,-200,Grocery shopping
3140-09-03,-1000,Electricity bill
3140-10-07,2500,Client payment
3140-10-01,5000,Salary payment
3140-11-02,-3000,Rent payment
3140-12-05,-200,Grocery shopping
3141-02-03,-1000,Electricity bill
3141-03-07,2500,Client payment
3141-03-01,5000,Salary payment
3141-04-02,-3000,Rent payment
3141-05-05,-200,Grocery shopping
3141-07-03,-1000,Electricity bill
3141-08-07,2500,Client payment
3141-08-01,5000,Salary payment
3141-09-02,-3000,Rent payment
3141-10-05,-200,Grocery shopping
3141-12-03,-1000,Electricity bill
3142-01-07,2500,Client payment
3142-01-01,5000,Salary payment
3142-02-02,-3000,Rent payment
3142-03-05,-200,Grocery shopping
3142-05-03,-1000,Electricity bill
3142-06-07,2500,Client payment
3142-06-01,5000,Salary payment
3142-07-02,-3000,Rent payment
3142-08-05,-200,Grocery shopping
3142-10-03,-1000,Electricity bill
3142-11-07,2500,Client payment
3142-11-01,5000,Salary payment
3142-12-02,-3000,Rent payment
3143-01-05,-200,Grocery shopping
3143-03-03,-1000,Electricity bill
3143-04-07,2500,Client payment
3143-04-01,5000,Salary payment
3143-05-02,-3000,Rent payment
3143-06-05,-200,Grocery shopping
3143-08-03,-1000,Electricity bill
3143-09-07,2500,Client payment
3143-09-01,5000,Salary payment
3143-10-02,-3000,Rent payment
3143-11-05,-200,Grocery shopping
3144-01-03,-1000,Electricity bill
3144-02-07,2500,Client payment
3144-02-01,5000,Salary payment
3144-03-02,-3000,Rent payment
3144-04-05,-200,Grocery shopping
3144-06-03,-1000,Electricity bill
3144-07-07,2500,Client payment
3144-07-01,5000,Salary payment
3144-08-02,-3000,Rent payment
3144-09-05,-200,Grocery shopping
3144-11-03,-1000,Electricity bill
3144-12-07,2500,Client payment
3144-12-01,5000,Salary payment
3145-01-02,-3000,Rent payment
3145-02-05,-200,Grocery shopping
3145-04-03,-1000,Electricity bill
3145-05-07,2500,Client payment
3145-05-01,5000,Salary payment
3145-06-02,-3000,Rent payment
3145-07-05,-200,Grocery shopping
3145-09-03,-1000,Electricity bill
3145-10-07,2500,Client payment
3145-10-01,5000,Salary payment
3145-11-02,-3000,Rent payment
3145-12-05,-200,Grocery shopping
3146-02-03,-1000,Electricity bill
3146-03-07,2500,Client payment
3146-03-01,5000,Salary payment
3146-04-02,-3000,Rent payment
3146-05-05,-200,Grocery shopping
3146-07-03,-1000,Electricity bill
3146-08-07,2500,Client payment
3146-08-01,5000,Salary payment
3146-09-02,-3000,Rent payment
3146-10-05,-200,Grocery shopping
3146-12-03,-1000,Electricity bill
3147-01-07,2500,Client payment
3147-01-01,5000,Salary payment
3147-02-02,-3000,Rent payment
3147-03-05,-200,Grocery shopping
3147-05-03,-1000,Electricity bill
3147-06-07,2500,Client payment
3147-06-01,5000,Salary payment
3147-07-02,-3000,Rent payment
3147-08-05,-200,Grocery shopping
3147-10-03,-1000,Electricity bill
3147-11-07,2500,Client payment
3147-11-01,5000,Salary payment
3147-12-02,-3000,Rent payment
3148-01-05,-200,Grocery shopping
3148-03-03,-1000,Electricity bill
3148-04-07,2500,Client payment
3148-04-01,5000,Salary payment
3148-05-02,-3000,Rent payment
3148-06-05,-200,Grocery shopping
3148-08-03,-1000,Electricity bill
3148-09-07,2500,Client payment
3148-09-01,5000,Salary payment
3148-10-02,-3000,Rent payment
3148-11-05,-200,Grocery shopping
3149-01-03,-1000,Electricity bill
3149-02-07,2500,Client payment
3149-02-01,5000,Salary payment
3149-03-02,-3000,Rent payment
3149-04-05,-200,Grocery shopping
3149-06-03,-1000,Electricity bill
3149-07-07,2500,Client payment
3149-07-01,5000,Salary payment
3149-08-02,-3000,Rent payment
3149-09-05,-200,Grocery shopping
3149-11-03,-1000,Electricity bill
3149-12-07,2500,Client payment
3149-12-01,5000,Salary payment
3150-01-02,-3000,Rent payment
3150-02-05,-200,Grocery shopping
3150-04-03,-1000,Electricity bill
3150-05-07,2500,Client payment
3150-05-01,5000,Salary payment
3150-06-02,-3000,Rent payment
3150-07-05,-200,Grocery shopping
3150-09-03,-1000,Electricity bill
3150-10-07,2500,Client payment
3150-10-01,5000,Salary payment
3150-11-02,-3000,Rent payment
3150-12-05,-200,Grocery shopping
3151-02-03,-1000,Electricity bill
3151-03-07,2500,Client payment
3151-03-01,5000,Salary payment
3151-04-02,-3000,Rent payment
3151-05-05,-200,Grocery shopping
3151-07-03,-1000,Electricity bill
3151-08-07,2500,Client payment
3151-08-01,5000,Salary payment
3151-09-02,-3000,Rent payment
3151-10-05,-200,Grocery shopping
3151-12-03,-1000,Electricity bill
3152-01-07,2500,Client payment
3152-01-01,5000,Salary payment
3152-02-02,-3000,Rent payment
3152-03-05,-200,Grocery shopping
3152-05-03,-1000,Electricity bill
3152-06-07,2500,Client payment
3152-06-01,5000,Salary payment
3152-07-02,-3000,Rent payment
3152-08-05,-200,Grocery shopping
3152-10-03,-1000,Electricity bill
3152-11-07,2500,Client payment
3152-11-01,5000,Salary payment
3152-12-02,-3000,Rent payment
3153-01-05,-200,Grocery shopping
3153-03-03,-1000,Electricity bill
3153-04-07,2500,Client payment
3153-04-01,5000,Salary payment
3153-05-02,-3000,Rent payment
3153-06-05,-200,Grocery shopping
3153-08-03,-1000,Electricity bill
3153-09-07,2500,Client payment
3153-09-01,5000,Salary payment
3153-10-02,-3000,Rent payment
3153-11-05,-200,Grocery shopping
3154-01-03,-1000,Electricity bill
3154-02-07,2500,Client payment
3154-02-01,5000,Salary payment
3154-03-02,-3000,Rent payment
3154-04-05,-200,Grocery shopping
3154-06-03,-1000,Electricity bill
3154-07-07,2500,Client payment
3154-07-01,5000,Salary payment
3154-08-02,-3000,Rent payment
3154-09-05,-200,Grocery shopping
3154-11-03,-1000,Electricity bill
3154-12-07,2500,Client payment
3154-12-01,5000,Salary payment
3155-01-02,-3000,Rent payment
3155-02-05,-200,Grocery shopping
3155-04-03,-1000,Electricity bill
3155-05-07,2500,Client payment
3155-05-01,5000,Salary payment
3155-06-02,-3000,Rent payment
3155-07-05,-200,Grocery shopping
3155-09-03,-1000,Electricity bill
3155-10-07,2500,Client payment
3155-10-01,5000,Salary payment
3155-11-02,-3000,Rent payment
3155-12-05,-200,Grocery shopping
3156-02-03,-1000,Electricity bill
3156-03-07,2500,Client payment
3156-03-01,5000,Salary payment
3156-04-02,-3000,Rent payment
3156-05-05,-200,Grocery shopping
3156-07-03,-1000,Electricity bill
3156-08-07,2500,Client payment
3156-08-01,5000,Salary payment
3156-09-02,-3000,Rent payment
3156-10-05,-200,Grocery shopping
3156-12-03,-1000,Electricity bill
3157-01-07,2500,Client payment
3157-01-01,5000,Salary payment
3157-02-02,-3000,Rent payment
3157-03-05,-200,Grocery shopping
3157-05-03,-1000,Electricity bill
3157-06-07,2500,Client payment
3157-06-01,5000,Salary payment
3157-07-02,-3000,Rent payment
3157-08-05,-200,Grocery shopping
3157-10-03,-1000,Electricity bill
3157-11-07,2500,Client payment
3157-11-01,5000,Salary payment
3157-12-02,-3000,Rent payment
3158-01-05,-200,Grocery shopping
3158-03-03,-1000,Electricity bill
3158-04-07,2500,Client payment
3158-04-01,5000,Salary payment
3158-05-02,-3000,Rent payment
3158-06-05,-200,Grocery shopping
3158-08-03,-1000,Electricity bill
3158-09-07,2500,Client payment
3158-09-01,5000,Salary payment
3158-10-02,-3000,Rent payment
3158-11-05,-200,Grocery shopping
3159-01-03,-1000,Electricity bill
3159-02-07,2500,Client payment
3159-02-01,5000,Salary payment
3159-03-02,-3000,Rent payment
3159-04-05,-200,Grocery shopping
3159-06-03,-1000,Electricity bill
3159-07-07,2500,Client payment
3159-07-01,5000,Salary payment
3159-08-02,-3000,Rent payment
3159-09-05,-200,Grocery shopping
3159-11-03,-1000,Electricity bill
3159-12-07,2500,Client payment
3159-12-01,5000,Salary payment
3160-01-02,-3000,Rent payment
3160-02-05,-200,Grocery shopping
3160-04-03,-1000,Electricity bill
3160-05-07,2500,Client payment
3160-05-01,5000,Salary payment
3160-06-02,-3000,Rent payment
3160-07-05,-200,Grocery shopping
3160-09-03,-1000,Electricity bill
3160-10-07,2500,Client payment
3160-10-01,5000,Salary payment
3160-11-02,-3000,Rent payment
3160-12-05,-200,Grocery shopping
3161-02-03,-1000,Electricity bill
3161-03-07,2500,Client payment
3161-03-01,5000,Salary payment
3161-04-02,-3000,Rent payment
3161-05-05,-200,Grocery shopping
3161-07-03,-1000,Electricity bill
3161-08-07,2500,Client payment
3161-08-01,5000,Salary payment
3161-09-02,-3000,Rent payment
3161-10-05,-200,Grocery shopping
3161-12-03,-1000,Electricity bill
3162-01-07,2500,Client payment
3162-01-01,5000,Salary payment
3162-02-02,-3000,Rent payment
3162-03-05,-200,Grocery shopping
3162-05-03,-1000,Electricity bill
3162-06-07,2500,Client payment
3162-06-01,5000,Salary payment
3162-07-02,-3000,Rent payment
3162-08-05,-200,Grocery shopping
3162-10-03,-1000,Electricity bill
3162-11-07,2500,Client payment
3162-11-01,5000,Salary payment
3162-12-02,-3000,Rent payment
3163-01-05,-200,Grocery shopping
3163-03-03,-1000,Electricity bill
3163-04-07,2500,Client payment
3163-04-01,5000,Salary payment
3163-05-02,-3000,Rent payment
3163-06-05,-200,Grocery shopping
3163-08-03,-1000,Electricity bill
3163-09-07,2500,Client payment
3163-09-01,5000,Salary payment
3163-10-02,-3000,Rent payment
3163-11-05,-200,Grocery shopping
3164-01-03,-1000,Electricity bill
3164-02-07,2500,Client payment
3164-02-01,5000,Salary payment
3164-03-02,-3000,Rent payment
3164-04-05,-200,Grocery shopping
3164-06-03,-1000,Electricity bill
3164-07-07,2500,Client payment
3164-07-01,5000,Salary payment
3164-08-02,-3000,Rent payment
3164-09-05,-200,Grocery shopping
3164-11-03,-1000,Electricity bill
3164-12-07,2500,Client payment
3164-12-01,5000,Salary payment
3165-01-02,-3000,Rent payment
3165-02-05,-200,Grocery shopping
3165-04-03,-1000,Electricity bill
3165-05-07,2500,Client payment
3165-05-01,5000,Salary payment
3165-06-02,-3000,Rent payment
3165-07-05,-200,Grocery shopping
3165-09-03,-1000,Electricity bill
3165-10-07,2500,Client payment
3165-10-01,5000,Salary payment
3165-11-02,-3000,Rent payment
3165-12-05,-200,Grocery shopping
3166-02-03,-1000,Electricity bill
3166-03-07,2500,Client payment
3166-03-01,5000,Salary payment
3166-04-02,-3000,Rent payment
3166-05-05,-200,Grocery shopping
3166-07-03,-1000,Electricity bill
3166-08-07,2500,Client payment
3166-08-01,5000,Salary payment
3166-09-02,-3000,Rent payment
3166-10-05,-200,Grocery shopping
3166-12-03,-1000,Electricity bill
3167-01-07,2500,Client payment
3167-01-01,5000,Salary payment
3167-02-02,-3000,Rent payment
3167-03-05,-200,Grocery shopping
3167-05-03,-1000,Electricity bill
3167-06-07,2500,Client payment
3167-06-01,5000,Salary payment
3167-07-02,-3000,Rent payment
3167-08-05,-200,Grocery shopping
3167-10-03,-1000,Electricity bill
3167-11-07,2500,Client payment
3167-11-01,5000,Salary payment
3167-12-02,-3000,Rent payment
3168-01-05,-200,Grocery shopping
3168-03-03,-1000,Electricity bill
3168-04-07,2500,Client payment
3168-04-01,5000,Salary payment
3168-05-02,-3000,Rent payment
3168-06-05,-200,Grocery shopping
3168-08-03,-1000,Electricity bill
3168-09-07,2500,Client payment
3168-09-01,5000,Salary payment
3168-10-02,-3000,Rent payment
3168-11-05,-200,Grocery shopping
3169-01-03,-1000,Electricity bill
3169-02-07,2500,Client payment
3169-02-01,5000,Salary payment
3169-03-02,-3000,Rent payment
3169-04-05,-200,Grocery shopping
3169-06-03,-1000,Electricity bill
3169-07-07,2500,Client payment
3169-07-01,5000,Salary payment
3169-08-02,-3000,Rent payment
